UF,Ano,Total_2022,Total_2023,Taxa_2022,Taxa_2023,Variacao_Percentual,Registros_Violencia_Domestica_SINESP,Taxa_100mil_Mulheres_SINESP,Feminicidios_SSP,Chamadas_180_Total,Medidas_Protetivas_Concedidas,Atendimentos_Saude_Violencia,Processos_Ajuizados_CNJ,Condenacoes_CNJ,Arquivamentos_CNJ,Indice_Impunidade,Populacao_Feminina_Estimada,Delegacias_Especializadas_Mulher,PIB_per_Capita_R$,IDH_Estadual
Brasil,2023,235915,258941,225.7,247.7,9.8,258941,247.7,1467,1123450,382115,598230,168400,45230,39170,5.72,107400000,1365,41200,0.765
Acre,2023,817,1105,197.02,266.47,35.3,1105,266.47,12,8420,1640,2590,620,180,120,6.14,430000,18,23800,0.710
Alagoas,2023,2013,2400,123.48,147.22,19.2,2400,147.22,52,23100,3980,6200,1340,310,210,7.74,1660000,46,18200,0.684
Amapá,2023,1164,968,315.24,262.16,-16.8,968,262.16,9,5670,1280,2010,480,95,85,10.19,430000,15,26100,0.708
Amazonas,2023,3284,3564,166.21,180.38,8.53,3564,180.38,41,30210,5240,7890,2100,520,380,6.85,2060000,52,29900,0.700
Bahia,2023,14919,14499,204.20,198.45,-2.82,14499,198.45,135,98500,18600,32400,8700,1700,1450,8.53,7450000,132,21400,0.714
Ceará,2023,772,503,17.02,11.09,-34.84,503,11.09,66,44200,8030,15700,260,60,55,8.38,4610000,101,23600,0.734
Distrito Federal,2023,3362,3525,227.99,239.05,4.85,3525,239.05,18,27100,5300,9500,2500,720,430,4.90,1520000,38,85000,0.824
Espírito Santo,2023,2254,2455,114.79,125.02,8.92,2455,125.02,37,19400,4100,7800,1500,430,290,5.71,2080000,57,39500,0.772
Goiás,2023,5158,5225,143.69,145.56,1.30,5225,145.56,59,36900,7130,13900,3400,860,570,6.07,3570000,89,36100,0.769
Maranhão,2023,2225,1900,64.5,55.1,-14.6,1900,55.1,61,55300,6400,11300,950,190,170,10.00,3690000,74,15600,0.687
Mato Grosso,2023,11415,10540,628.09,579.95,-7.7,10540,579.95,44,18700,3900,7400,5100,820,760,12.85,1790000,44,51200,0.774
Mato Grosso do Sul,2023,3412,2837,243.63,202.57,-16.85,2837,202.57,28,13300,2700,5200,1400,260,240,10.91,1460000,33,48700,0.766
Minas Gerais,2023,22014,24000,209.17,228.04,9.02,24000,228.04,121,154000,29800,51000,15000,3400,2200,7.06,10600000,220,36200,0.787
Pará,2023,9957,10465,244.74,257.23,5.10,10465,257.23,83,67400,9100,17400,4800,900,810,11.63,4280000,92,20300,0.698
Paraíba,2023,1001,1192,48.69,57.98,19.08,1192,57.98,29,17650,3050,6200,620,150,135,7.95,2040000,49,21000,0.722
Paraná,2023,17777,23886,303.00,407.12,34.36,23886,407.12,98,73100,15600,32500,13200,2900,2300,8.23,5850000,165,42500,0.792
Pernambuco,2023,9338,10121,197.10,213.63,8.39,10121,213.63,107,88400,12000,21100,5200,990,890,10.23,5050000,118,24200,0.719
Piauí,2023,1319,1529,78.95,91.52,15.92,1529,91.52,22,15600,2990,5300,700,160,145,9.56,1630000,41,19700,0.703
Rio de Janeiro,2023,25413,27148,299.77,320.24,6.9,27148,320.24,143,169000,27600,43200,16400,3100,2700,8.76,8700000,190,45800,0.800
Rio Grande do Norte,2023,2777,3145,162.97,184.57,13.25,3145,184.57,26,22100,3800,7800,1700,350,310,8.99,1770000,44,22600,0.728
Rio Grande do Sul,2023,18207,19862,323.55,352.96,9.09,19862,352.96,94,81000,13900,29200,12000,2300,2000,8.64,5650000,150,46300,0.787
Rondônia,2023,3653,4132,460.53,520.92,13.11,4132,520.92,19,9200,2140,4100,1900,290,260,14.25,920000,28,31200,0.735
Roraima,2023,1274,1500,402.76,474.21,17.7,1500,474.21,11,4600,980,2100,670,120,110,12.50,300000,12,28300,0.707
Santa Catarina,2023,16531,17035,428.35,441.41,3.05,17035,441.41,55,52000,9500,24300,9800,2100,1800,8.11,3800000,120,48700,0.808
São Paulo,2023,52672,61991,228.86,269.35,17.69,61991,269.35,221,247000,51200,78400,41000,8200,7100,7.56,23000000,280,58000,0.826
Sergipe,2023,1203,1162,104.41,100.85,-3.41,1162,100.85,14,8700,1480,2600,540,95,85,12.23,1180000,29,21800,0.702
Tocantins,2023,1984,2252,263.06,298.60,13.51,2252,298.60,17,7100,1290,3300,1180,210,195,10.72,820000,22,28900,0.742

